station_id	lat	long
171	55.94308406301113	-3.188311072722399
183	55.95134439884462	-3.191420998989883
189	55.95010933017899	-3.190257770093808
225	55.95173449698344	-3.18417853540609
241	55.97237325804326	-3.155833150766966
242	55.97240196356882	-3.155794035109693
246	55.939000247888764	-3.173923554315593
247	55.95233546161639	-3.207101172107286
248	55.94600418964078	-3.188665492872815
249	55.94335692764551	-3.209247501624645
250	55.977637787726984	-3.174115590621568
251	55.952641035774384	-3.187526919462357
252	55.92418540667696	-3.173830830087809
253	55.92320215516664	-3.17164624536349
254	55.923478807846635	-3.175384584907078
255	55.92200087060626	-3.1769018141649212
256	55.95316433242384	-3.181682340931843
257	55.957004308392506	-3.116888118730116
258	55.95856558589723	-3.208070182227743
259	55.95472778937899	-3.192652969253117
260	55.944771652335476	-3.197265856419562
261	55.960929747664	-3.181005314780577
262	55.96280408759764	-3.196283585062929
264	55.939963469723715	-3.171585934311565
265	55.939809466328285	-3.182738850746432
266	55.97424715757633	-3.194482342104265
267	55.942551339390945	-3.191380756192416
273	55.96253727246136	-3.179472670388236
275	55.945159896857184	-3.203678290717107
277	55.959504176688824	-3.223428055375961
280	53.39552546462075	-2.9901380418724552
284	55.96919856910954	-3.166884617023356
285	55.981286014792985	-3.176351263805259
289	55.951500737349754	-3.203183906525282
290	55.93715871276677	-3.206435329645956
296	55.94676648672239	-3.202037829055143
297	55.924295174984614	-3.133510335817163
299	55.97233473082818	-3.155781602605998
340	55.94030045743447	-3.194591930765
341	55.938363058645024	-3.198031182386103
342	55.93632904938287	-3.202294536676049
343	55.93536510821717	-3.198671326704016
344	55.936397496743666	-3.194252202886105
345	55.934034801869515	-3.2108032288005
346	55.92798551356313	-3.209738736635245
347	55.944867799682754	-3.182670511194715
349	55.95508276879095	-3.223634263956455
350	55.941754301444796	-3.222524291865397
351	55.94271471556419	-3.221430982426
352	55.93972942415463	-3.220602995527315
353	55.94049262199568	-3.2171441917087122
354	55.971268912190844	-3.207815717530479
355	55.964145597867244	-3.202073560611438
356	55.95994339132352	-3.187329201962484
357	55.963995150971236	-3.185188767893123
358	55.96503980507732	-3.176686414784853
359	55.93642987756881	-3.180114903557978
365	55.944896459715345	-3.199635221500898
366	55.97592738157906	-3.191317916099706
648	55.96345848770889	-3.23280956008216
820	55.97070402016615	-3.1716239961015162
860	55.94034806856411	-3.172108169850503
862	55.980023741808324	-3.300622016981151
863	55.96953169937321	-3.307305425252252
864	55.96152699979099	-3.306114175491529
865	55.95661859471628	-3.237802968201094
866	55.95940686974708	-3.215659820662267
867	55.96026010209808	-3.203912595837096
868	55.96094446922441	-3.201386994249105
869	55.95791033111316	-3.180692837632364
870	55.957803310852015	-3.1754794362148
871	55.94274592050117	-3.281623013233002
872	55.942944853851905	-3.290794069257344
873	55.94174288122498	-3.271484360775275
874	55.942221825711776	-3.268697484588187
875	55.942364438846695	-3.265384123501235
876	55.94476686576929	-3.243687888944919
877	55.94632179137708	-3.236542329964095
878	55.93893772779211	-3.251173333050928
879	55.93802439880083	-3.184979210204801
880	55.96403450946105	-3.195673725279903
881	55.94428069681837	-3.202964359237739
882	55.94604282192561	-3.210484908343801
883	55.95454278693572	-3.23472817617926
884	55.96248692705142	-3.232031328469361
885	55.9456092021698	-3.231715619159217
887	55.94446626439512	-3.234541218248978
888	55.94474957118208	-3.1865421356333172
889	55.9419563895648	-3.237802024128314
890	55.943861983330955	-3.184972223259024
891	55.93821225851473	-3.17897226737648
901	55.951813501278245	-3.178725911660876
964	55.92701363904687	-3.248556775310362
965	55.945452213917534	-3.219679557435938
980	55.940906749395	-3.3688722251728223
981	55.94065528387753	-3.381606403941987
982	55.93909048596021	-3.355912910873826
991	55.94173596765826	-3.190360574257738
1017	55.94475574122453	-3.18691697426982
1018	55.94969158307013	-3.18781281937504
1019	55.947097278583385	-3.1972457326126
1024	55.940237631689435	-3.194640214184801
1025	55.93970989541296	-3.220588933667954
1026	55.97544142756835	-3.166806411195239
1027	55.9483365370385	-3.18226129953905
1028	55.95003729291336	-3.187821518826922
1030	55.94380585491596	-3.211238456749925
1031	55.95264053655981	-3.205665534467016
1032	55.95135352288074	-3.168590609786974
1033	55.93193490858167	-3.073045771766146
1038	55.97132539148155	-3.207963567424258
1039	55.947409199207115	-3.205765497136553
1040	55.926664566092654	-3.289467852759799
1041	55.944051353414075	-3.098567246199309
1042	55.92446420087144	-3.178731512475451
1050	55.94607055533778	-3.210396331000765
1051	55.93836921723555	-3.198032688546618
1052	55.94664279961712	-3.185474585938891
1055	55.94442555452843	-3.234497716594433
1056	55.93437199635734	-3.105037819791278
1057	55.948209628249515	-3.181597452807864
1090	55.95787194536338	-3.1758883709196652
1091	55.94955950619123	-3.180413257527789
1092	55.94179129688128	-3.222415309596499
1093	55.95197357717703	-3.226124804664096
1094	55.939977758149666	-3.189862157672223
1095	55.97593978299806	-3.191321207818646
1096	55.9438359841253	-3.184951408497681
1097	55.93796327344498	-3.185021145932069
1098	55.936431918148195	-3.194150044314256
1102	55.94558221753474	-3.218192059354351
1720	55.9607624081837	-3.201278014771333
1721	55.944248052468346	-3.203104599110474
1722	55.980030767403164	-3.300641788832536
1723	55.90880966452917	-3.320141905887681
1724	55.908403986062076	-3.328825358925314
1725	55.94211534619251	-3.269286765448441
1726	55.94485886752089	-3.182589723460069
1727	55.93650603148236	-3.180166347615113
1728	55.957915406923476	-3.118332042090287
1729	55.9640310527501	-3.185175372950425
1730	55.95995414501485	-3.187197758547654
1731	55.947566653309394	-3.181591941706529
1737	55.964117879889585	-3.202094747416367
