	station_id	lat	long	elev
0	171	55.94308406301113	-3.188311072722399	84
1	183	55.95134439884462	-3.191420998989883	67
2	189	55.95010933017899	-3.190257770093808	67
3	225	55.95173449698344	-3.18417853540609	69
4	241	55.97237325804326	-3.155833150766966	5
5	242	55.97240196356882	-3.155794035109693	5
6	246	55.93900024788877	-3.173923554315593	89
7	247	55.95233546161639	-3.207101172107286	66
8	248	55.94600418964078	-3.188665492872815	96
9	249	55.94335692764551	-3.209247501624645	73
10	250	55.97763778772698	-3.174115590621568	12
11	251	55.952641035774384	-3.187526919462357	70
12	252	55.92418540667696	-3.173830830087809	78
13	253	55.92320215516664	-3.17164624536349	76
14	254	55.92347880784664	-3.175384584907078	83
15	255	55.92200087060626	-3.176901814164921	83
16	256	55.95316433242384	-3.181682340931843	63
17	257	55.957004308392506	-3.116888118730116	8
18	258	55.95856558589723	-3.208070182227743	24
19	259	55.95472778937899	-3.192652969253117	76
20	260	55.94477165233548	-3.197265856419562	91
21	261	55.960929747664	-3.181005314780577	30
22	262	55.96280408759764	-3.196283585062929	16
23	264	55.93996346972372	-3.171585934311565	87
24	265	55.939809466328285	-3.182738850746432	81
25	266	55.97424715757633	-3.194482342104265	23
26	267	55.94255133939095	-3.191380756192416	82
27	273	55.96253727246136	-3.179472670388236	25
28	275	55.945159896857184	-3.203678290717107	81
29	277	55.95950417668882	-3.223428055375961	24
30	280	53.39552546462075	-2.9901380418724552	3
31	284	55.96919856910954	-3.166884617023356	17
32	285	55.981286014792985	-3.176351263805259	2
33	289	55.95150073734976	-3.203183906525282	71
34	290	55.93715871276677	-3.206435329645956	104
35	296	55.94676648672239	-3.202037829055143	73
36	297	55.92429517498461	-3.133510335817163	53
37	299	55.97233473082818	-3.155781602605998	5
38	340	55.94030045743447	-3.194591930765	76
39	341	55.938363058645024	-3.198031182386103	93
40	342	55.93632904938287	-3.202294536676049	99
41	343	55.93536510821717	-3.198671326704016	100
42	344	55.93639749674367	-3.194252202886105	95
43	345	55.93403480186952	-3.2108032288005	98
44	346	55.92798551356313	-3.209738736635245	88
45	347	55.944867799682754	-3.182670511194715	82
46	349	55.95508276879095	-3.223634263956455	46
47	350	55.9417543014448	-3.222524291865397	60
48	351	55.94271471556419	-3.221430982426	60
49	352	55.93972942415463	-3.220602995527315	70
50	353	55.94049262199568	-3.217144191708712	73
51	354	55.97126891219085	-3.207815717530479	32
52	355	55.96414559786725	-3.202073560611438	18
53	356	55.95994339132352	-3.187329201962484	38
54	357	55.96399515097124	-3.185188767893123	25
55	358	55.96503980507732	-3.176686414784853	21
56	359	55.93642987756881	-3.180114903557978	82
57	365	55.94489645971535	-3.199635221500898	87
58	366	55.97592738157906	-3.191317916099706	21
59	648	55.96345848770889	-3.23280956008216	40
60	820	55.97070402016615	-3.171623996101516	15
61	860	55.94034806856411	-3.172108169850503	87
62	862	55.98002374180832	-3.300622016981151	2
63	863	55.96953169937321	-3.307305425252252	41
64	864	55.96152699979099	-3.306114175491529	44
65	865	55.95661859471628	-3.237802968201094	46
66	866	55.95940686974708	-3.215659820662267	20
67	867	55.96026010209808	-3.203912595837096	23
68	868	55.96094446922441	-3.201386994249105	24
69	869	55.95791033111316	-3.180692837632364	56
70	870	55.957803310852015	-3.1754794362148	52
71	871	55.94274592050117	-3.281623013233002	54
72	872	55.94294485385191	-3.290794069257344	52
73	873	55.94174288122498	-3.271484360775275	63
74	874	55.942221825711776	-3.268697484588187	63
75	875	55.942364438846695	-3.265384123501235	62
76	876	55.94476686576929	-3.243687888944919	41
77	877	55.94632179137708	-3.236542329964095	55
78	878	55.93893772779211	-3.251173333050928	49
79	879	55.93802439880083	-3.184979210204801	81
80	880	55.96403450946105	-3.195673725279903	19
81	881	55.94428069681837	-3.202964359237739	81
82	882	55.94604282192561	-3.210484908343801	70
83	883	55.95454278693572	-3.23472817617926	37
84	884	55.96248692705142	-3.232031328469361	35
85	885	55.9456092021698	-3.231715619159217	48
86	887	55.94446626439512	-3.234541218248978	47
87	888	55.94474957118208	-3.186542135633317	86
88	889	55.9419563895648	-3.237802024128314	47
89	890	55.94386198333096	-3.184972223259024	84
90	891	55.93821225851473	-3.17897226737648	86
91	901	55.951813501278245	-3.178725911660876	48
